"","X1","X2","X3","X4","X5","X6","X7","X8","Y1"
"17",0.79,637,343,147,7,2,0,0,28.52
"20",0.79,637,343,147,7,5,0,0,28.75
"25",0.74,686,245,220.5,3.5,2,0,0,6.07
"26",0.74,686,245,220.5,3.5,3,0,0,6.05
"27",0.74,686,245,220.5,3.5,4,0,0,6.01
"28",0.74,686,245,220.5,3.5,5,0,0,6.04
"29",0.71,710.5,269.5,220.5,3.5,2,0,0,6.37
"30",0.71,710.5,269.5,220.5,3.5,3,0,0,6.4
"31",0.71,710.5,269.5,220.5,3.5,4,0,0,6.37
"32",0.71,710.5,269.5,220.5,3.5,5,0,0,6.4
"33",0.69,735,294,220.5,3.5,2,0,0,6.85
"34",0.69,735,294,220.5,3.5,3,0,0,6.79
"35",0.69,735,294,220.5,3.5,4,0,0,6.77
"36",0.69,735,294,220.5,3.5,5,0,0,6.81
"37",0.66,759.5,318.5,220.5,3.5,2,0,0,7.18
"38",0.66,759.5,318.5,220.5,3.5,3,0,0,7.1
"39",0.66,759.5,318.5,220.5,3.5,4,0,0,7.1
"40",0.66,759.5,318.5,220.5,3.5,5,0,0,7.1
"41",0.64,784,343,220.5,3.5,2,0,0,10.85
"42",0.64,784,343,220.5,3.5,3,0,0,10.54
"43",0.64,784,343,220.5,3.5,4,0,0,10.77
"44",0.64,784,343,220.5,3.5,5,0,0,10.56
"45",0.62,808.5,367.5,220.5,3.5,2,0,0,8.6
"46",0.62,808.5,367.5,220.5,3.5,3,0,0,8.49
"47",0.62,808.5,367.5,220.5,3.5,4,0,0,8.45
"48",0.62,808.5,367.5,220.5,3.5,5,0,0,8.5
"49",0.98,514.5,294,110.25,7,2,0.1,1,24.58
"50",0.98,514.5,294,110.25,7,3,0.1,1,24.63
"51",0.98,514.5,294,110.25,7,4,0.1,1,24.63
"52",0.98,514.5,294,110.25,7,5,0.1,1,24.59
"53",0.9,563.5,318.5,122.5,7,2,0.1,1,29.03
"56",0.9,563.5,318.5,122.5,7,5,0.1,1,28.09
"57",0.86,588,294,147,7,2,0.1,1,26.28
"58",0.86,588,294,147,7,3,0.1,1,26.91
"59",0.86,588,294,147,7,4,0.1,1,26.37
"60",0.86,588,294,147,7,5,0.1,1,25.27
"69",0.76,661.5,416.5,122.5,7,2,0.1,1,32.96
"70",0.76,661.5,416.5,122.5,7,3,0.1,1,32.12
"71",0.76,661.5,416.5,122.5,7,4,0.1,1,32.94
"72",0.76,661.5,416.5,122.5,7,5,0.1,1,32.21
"77",0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71
"78",0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8
"79",0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7
"80",0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75
"81",0.69,735,294,220.5,3.5,2,0.1,1,11.11
"82",0.69,735,294,220.5,3.5,3,0.1,1,11.13
"83",0.69,735,294,220.5,3.5,4,0.1,1,11.09
"84",0.69,735,294,220.5,3.5,5,0.1,1,11.16
"85",0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68
"86",0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
"87",0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7
"88",0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69
"93",0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96
"94",0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97
"95",0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93
"96",0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02
"97",0.98,514.5,294,110.25,7,2,0.1,2,24.29
"98",0.98,514.5,294,110.25,7,3,0.1,2,24.31
"99",0.98,514.5,294,110.25,7,4,0.1,2,24.13
"100",0.98,514.5,294,110.25,7,5,0.1,2,24.25
"101",0.9,563.5,318.5,122.5,7,2,0.1,2,28.88
"103",0.9,563.5,318.5,122.5,7,4,0.1,2,28.83
"104",0.9,563.5,318.5,122.5,7,5,0.1,2,27.9
"105",0.86,588,294,147,7,2,0.1,2,26.48
"106",0.86,588,294,147,7,3,0.1,2,27.02
"107",0.86,588,294,147,7,4,0.1,2,26.33
"108",0.86,588,294,147,7,5,0.1,2,25.36
"117",0.76,661.5,416.5,122.5,7,2,0.1,2,33.16
"118",0.76,661.5,416.5,122.5,7,3,0.1,2,32.4
"119",0.76,661.5,416.5,122.5,7,4,0.1,2,33.12
"120",0.76,661.5,416.5,122.5,7,5,0.1,2,32.41
"125",0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64
"126",0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72
"127",0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55
"128",0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68
"129",0.69,735,294,220.5,3.5,2,0.1,2,11.45
"130",0.69,735,294,220.5,3.5,3,0.1,2,11.46
"131",0.69,735,294,220.5,3.5,4,0.1,2,11.32
"132",0.69,735,294,220.5,3.5,5,0.1,2,11.49
"133",0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45
"134",0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42
"135",0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
"136",0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43
"141",0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88
"142",0.62,808.5,367.5,220.5,3.5,3,0.1,2,13
"143",0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97
"144",0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04
"145",0.98,514.5,294,110.25,7,2,0.1,3,24.28
"146",0.98,514.5,294,110.25,7,3,0.1,3,24.4
"147",0.98,514.5,294,110.25,7,4,0.1,3,24.11
"148",0.98,514.5,294,110.25,7,5,0.1,3,24.35
"149",0.9,563.5,318.5,122.5,7,2,0.1,3,28.07
"150",0.9,563.5,318.5,122.5,7,3,0.1,3,29.01
"152",0.9,563.5,318.5,122.5,7,5,0.1,3,29.05
